KeyReleased,Key.f8,7.8557169
start
KeyPressed,Key.esc,7.9653524
KeyReleased,Key.esc,8.0614112
KeyPressed,r,8.2856965
KeyReleased,'r',8.3569404
KeyPressed,Key.enter,8.4451184
KeyReleased,Key.enter,8.5255371
KeyPressed,d,18.4532993
KeyPressed,w,18.7412602
KeyPressed,Key.shift,18.9010952
KeyReleased,'W',19.0776863
KeyPressed,W,19.4212352
KeyReleased,'W',19.7090374
KeyReleased,Key.shift,19.7409586
KeyReleased,'d',19.845122
KeyPressed,e,20.1730427
KeyReleased,'e',20.2772035
KeyPressed,e,22.0609954
KeyReleased,'e',22.1574601
KeyPressed,e,22.2531808
KeyReleased,'e',22.3654748
KeyPressed,Key.shift,23.8777267
KeyPressed,S,23.9018535
KeyPressed,D,24.0692098
KeyReleased,'S',24.2051656
KeyPressed,S,24.6214872
KeyReleased,'S',24.8691447
KeyPressed,Key.right,25.1651715
KeyPressed,Key.right,25.6651762
KeyPressed,Key.right,25.6980658
KeyPressed,Key.right,25.7320046
KeyPressed,Key.right,25.7650576
KeyPressed,Key.right,25.7980472
KeyPressed,Key.right,25.831003
KeyPressed,W,25.8452309
KeyReleased,Key.right,26.0132604
KeyReleased,'D',26.0293259
KeyPressed,D,26.413501
KeyReleased,'D',26.8773255
KeyPressed,D,27.0291039
KeyReleased,'D',27.2213154
KeyPressed,D,28.3892985
KeyReleased,'D',28.5409563
KeyReleased,Key.shift,29.2529956
KeyReleased,'w',29.3654547
KeyPressed,e,29.5413324
KeyReleased,'e',29.6375473
MouseMove,1502,688,31.0109902
MouseMove,1502,688,31.0121024
MouseMove,1502,687,31.0131508
MouseMove,1502,686,31.0140574
MouseMove,1502,685,31.0150768
MouseMove,1502,685,31.0161378
MouseMove,1502,684,31.0173928
MouseMove,1502,683,31.0185547
MouseMove,1502,682,31.0200532
MouseMove,1503,682,31.0214693
MouseMove,1503,682,31.0224648
MouseMove,1503,681,31.0236937
MouseMove,1503,680,31.0248065
MouseMove,1503,680,31.0258724
MouseMove,1503,679,31.02793
MouseMove,1504,679,31.0328154
MouseMove,1504,679,31.0526428
MouseMove,1505,679,31.057684
MouseMove,1505,679,31.0586668
MouseMove,1505,679,31.0606964
MouseMove,1506,679,31.0618046
MouseMove,1506,679,31.0627022
MouseMove,1507,679,31.064028
MouseMove,1507,679,31.0649285
MouseMove,1508,680,31.0659409
MouseMove,1508,680,31.0669843
MouseMove,1509,680,31.0678548
MouseMove,1509,680,31.06879
MouseMove,1510,680,31.0697324
MouseMove,1511,680,31.0707393
MouseMove,1512,681,31.0718969
MouseMove,1512,681,31.0727627
MouseMove,1513,681,31.0736952
MouseMove,1514,682,31.0746256
MouseMove,1514,682,31.0756315
MouseMove,1515,682,31.0766668
MouseMove,1515,682,31.077765
MouseMove,1516,683,31.0787496
MouseMove,1517,683,31.0797274
MouseMove,1518,683,31.0808077
MouseMove,1518,683,31.0818535
MouseMove,1519,683,31.0829177
MouseMove,1520,683,31.0838463
MouseMove,1520,683,31.0847992
MouseMove,1521,684,31.0856969
MouseMove,1522,684,31.0866435
MouseMove,1523,684,31.0877658
MouseMove,1524,684,31.0887917
MouseMove,1524,684,31.0898252
MouseMove,1525,684,31.0906582
MouseMove,1526,684,31.0915466
MouseMove,1527,684,31.0925499
MouseMove,1528,684,31.0936797
MouseMove,1529,684,31.0947097
MouseMove,1530,684,31.095663
MouseMove,1531,684,31.0968348
MouseMove,1532,684,31.0980436
MouseMove,1533,684,31.0994224
MouseMove,1534,684,31.1007216
